;Series_reference;Period;Data_value;STATUS;UNITS;MAGNTUDE;Subject;Group;Series_title_1;Series_title_2;Series_title_3;Series_title_4;Series_title_5
307;ALCA.SAAAD;2006,12;0,002869;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
308;ALCA.SAAAD;2007,12;0,010216;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
309;ALCA.SAAAD;2008,12;0,028991000000000003;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
310;ALCA.SAAAD;2009,12;0,12045499999999999;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
311;ALCA.SAAAD;2010,12;0,253323;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
312;ALCA.SAAAD;2011,12;0,34132336;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
313;ALCA.SAAAD;2012,12;0,3180722;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
314;ALCA.SAAAD;2013,12;0,48426556200000004;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
315;ALCA.SAAAD;2014,12;0,265903745;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
316;ALCA.SAAAD;2015,12;0,18423581600000002;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
317;ALCA.SAAAD;2016,12;0,186834387;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
318;ALCA.SAAAD;2017,12;0,2219614;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
319;ALCA.SAAAD;2018,12;0,353472012;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
320;ALCA.SAAAD;2019,12;0,518381934;PROVISIONAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
321;ALCA.SAAAM;2001,03;0,0043630000000000006;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
322;ALCA.SAAAM;2002,03;0,001325;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
323;ALCA.SAAAM;2003,03;0,0006799999999999999;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
324;ALCA.SAAAM;2004,03;0,0009214000000000001;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
325;ALCA.SAAAM;2005,03;0,00011079999999999998;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
326;ALCA.SAAAM;2006,03;0,009269;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
327;ALCA.SAAAM;2007,03;0,004101;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
328;ALCA.SAAAM;2008,03;0,017823;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
329;ALCA.SAAAM;2009,03;0,038006;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
330;ALCA.SAAAM;2010,03;0,17957599999999999;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
331;ALCA.SAAAM;2011,03;0,256191;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
332;ALCA.SAAAM;2012,03;0,3257184;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
333;ALCA.SAAAM;2013,03;0,33381852;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
334;ALCA.SAAAM;2014,03;0,490164042;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
335;ALCA.SAAAM;2015,03;0,215707625;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
336;ALCA.SAAAM;2016,03;0,186019696;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
337;ALCA.SAAAM;2017,03;0,20353386699999998;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
338;ALCA.SAAAM;2018,03;0,285735472;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
339;ALCA.SAAAM;2019,03;0,316186654;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
340;ALCA.SAAAS;2001,09;0,0014759999999999999;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
341;ALCA.SAAAS;2002,09;0,000865;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
342;ALCA.SAAAS;2003,09;0,0009630000000000001;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
343;ALCA.SAAAS;2004,09;0,0005612;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
344;ALCA.SAAAS;2005,09;0,008874;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
345;ALCA.SAAAS;2006,09;0,0018260000000000001;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
346;ALCA.SAAAS;2007,09;0,0057399999999999994;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
347;ALCA.SAAAS;2008,09;0,018403;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
348;ALCA.SAAAS;2009,09;0,071996;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
349;ALCA.SAAAS;2010,09;0,260827;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
350;ALCA.SAAAS;2011,09;0,3315942;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
351;ALCA.SAAAS;2012,09;0,27928632;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
352;ALCA.SAAAS;2013,09;0,490822804;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
353;ALCA.SAAAS;2014,09;0,31237058300000003;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
354;ALCA.SAAAS;2015,09;0,21053400000000003;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
355;ALCA.SAAAS;2016,09;0,186067803;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
356;ALCA.SAAAS;2017,09;0,16571276;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
357;ALCA.SAAAS;2018,09;0,318020012;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
358;ALCA.SAAAS;2019,09;0,319298934;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing not more than 1.150% alcohol;;;;
359;ALCA.SAAB;2001,06;4,42872273;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
360;ALCA.SAAB;2002,06;4,05281992;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
361;ALCA.SAAB;2003,06;3,8343769999999995;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
362;ALCA.SAAB;2004,06;3,7419654;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
363;ALCA.SAAB;2005,06;3,85060304;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
364;ALCA.SAAB;2006,06;3,7821263999999997;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
365;ALCA.SAAB;2007,06;3,6563285000000003;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
366;ALCA.SAAB;2008,06;3,54823126;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
367;ALCA.SAAB;2009,06;3,07347467;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
368;ALCA.SAAB;2010,06;2,81402868;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
369;ALCA.SAAB;2011,06;2,65742156;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
370;ALCA.SAAB;2012,06;2,151671785;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
371;ALCA.SAAB;2013,06;2,35915534;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
372;ALCA.SAAB;2014,06;4,109800048;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
373;ALCA.SAAB;2015,06;7,335748351;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
374;ALCA.SAAB;2016,06;9,471582583;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
375;ALCA.SAAB;2017,06;8,321615099999999;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
376;ALCA.SAAB;2018,06;7,238664326;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
377;ALCA.SAAB;2019,06;6,833142767000001;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
378;ALCA.SAABD;2000,12;4,42312553;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
379;ALCA.SAABD;2001,12;4,23631304;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
380;ALCA.SAABD;2002,12;3,91934428;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
381;ALCA.SAABD;2003,12;3,666612;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
382;ALCA.SAABD;2004,12;3,8142974;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
383;ALCA.SAABD;2005,12;3,83858144;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
384;ALCA.SAABD;2006,12;3,7736834999999997;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
385;ALCA.SAABD;2007,12;3,5781870000000002;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
386;ALCA.SAABD;2008,12;3,2888557;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
387;ALCA.SAABD;2009,12;2,92219791;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
388;ALCA.SAABD;2010,12;2,72557344;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
389;ALCA.SAABD;2011,12;2,642765555;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
390;ALCA.SAABD;2012,12;2,02139132;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
391;ALCA.SAABD;2013,12;2,879821218;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
392;ALCA.SAABD;2014,12;5,334875477;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
393;ALCA.SAABD;2015,12;9,371875166;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
394;ALCA.SAABD;2016,12;9,034990349;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
395;ALCA.SAABD;2017,12;7,6359884760000005;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
396;ALCA.SAABD;2018,12;7,021432487;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
397;ALCA.SAABD;2019,12;6,349317015;PROVISIONAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
398;ALCA.SAABM;2001,03;4,41872393;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
399;ALCA.SAABM;2002,03;4,16881116;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
400;ALCA.SAABM;2003,03;3,8412542000000003;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
401;ALCA.SAABM;2004,03;3,6972754;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
402;ALCA.SAABM;2005,03;3,8572699999999998;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
403;ALCA.SAABM;2006,03;3,78363044;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
404;ALCA.SAABM;2007,03;3,7428364999999997;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
405;ALCA.SAABM;2008,03;3,5314;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
406;ALCA.SAABM;2009,03;3,21720458;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
407;ALCA.SAABM;2010,03;2,83983503;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
408;ALCA.SAABM;2011,03;2,64964636;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
409;ALCA.SAABM;2012,03;2,542434125;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
410;ALCA.SAABM;2013,03;2,07890072;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
411;ALCA.SAABM;2014,03;3,671235678;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
412;ALCA.SAABM;2015,03;6,76273025;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
413;ALCA.SAABM;2016,03;9,347724567;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
414;ALCA.SAABM;2017,03;8,450623057;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
415;ALCA.SAABM;2018,03;7,423862451000001;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
416;ALCA.SAABM;2019,03;6,902364187000001;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
417;ALCA.SAABS;2001,09;4,30107357;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
418;ALCA.SAABS;2002,09;4,020015;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
419;ALCA.SAABS;2003,09;3,793818;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
420;ALCA.SAABS;2004,09;3,7443034;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
421;ALCA.SAABS;2005,09;3,80776644;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
422;ALCA.SAABS;2006,09;3,805339;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
423;ALCA.SAABS;2007,09;3,6336745;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
424;ALCA.SAABS;2008,09;3,5692947;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
425;ALCA.SAABS;2009,09;2,92815531;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
426;ALCA.SAABS;2010,09;2,73525844;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
427;ALCA.SAABS;2011,09;2,776651414;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
428;ALCA.SAABS;2012,09;2,016774821;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
429;ALCA.SAABS;2013,09;2,320363006;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
430;ALCA.SAABS;2014,09;4,550955865;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
431;ALCA.SAABS;2015,09;8,280802879;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
432;ALCA.SAABS;2016,09;9,382516034;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
433;ALCA.SAABS;2017,09;7,813001936;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
434;ALCA.SAABS;2018,09;7,278761693;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
435;ALCA.SAABS;2019,09;6,559063212000001;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 1.151% and 2.500% alc;;;;
436;ALCA.SAAC;2001,06;244,16501301;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 2.501% and 4.350% alc;;;;
437;ALCA.SAAC;2002,06;241,09960118;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 2.501% and 4.350% alc;;;;
438;ALCA.SAAC;2003,06;237,761143;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 2.501% and 4.350% alc;;;;
439;ALCA.SAAC;2004,06;235,3432946;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 2.501% and 4.350% alc;;;;
440;ALCA.SAAC;2005,06;223,17958927;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 2.501% and 4.350% alc;;;;
441;ALCA.SAAC;2006,06;214,49112812;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 2.501% and 4.350% alc;;;;
442;ALCA.SAAC;2007,06;210,85888168;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 2.501% and 4.350% alc;;;;
443;ALCA.SAAC;2008,06;209,35379278;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 2.501% and 4.350% alc;;;;
444;ALCA.SAAC;2009,06;197,80816615;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 2.501% and 4.350% alc;;;;
445;ALCA.SAAC;2010,06;183,71605268;FINAL;Litres;6;Alcohol Available for Consumption - ALC;Litres of Beverage;Beer containing between 2.501% and 4.350% alc;;;;
