;sss
175;3,056034583241326
176;3,0103747089596893
177;3,1019365184040693
178;3,0206664175236555
179;3,0186535926745552
180;3,0020077476956653
181;3,045378499372812
182;3,0216872685070117
183;3,005111144559847
184;3,00158627299347
185;3,0138720958140883
186;3,0016437333435304
187;3,047997552234969
188;3,06444647207399
189;3,046637588336413
190;3,0205235380903863
191;3,052263786716595
192;3,053538677213335
193;3,0003006855078937
194;3,0186631768531242
195;3,004576110508452
196;3,0078768021159488
197;3,0196098073488873
198;3,0443035775369025
199;3,0066704854821418
200;3,0551133020956596
201;3,040920269512366
202;3,0212875869471545
203;3,016807423183413
204;3,0436594457914383
205;3,0311878085165245
206;3,0151317186004643
207;3,0056145085074624
208;3,0647850734970365
209;3,0233137526915073
210;3,014141186049512
211;3,0267809052480676
212;3,0708684822463908
213;3,0098008059311487
214;3,006906406977537
215;3,0029804699629397
216;3,076381535301062
217;3,004472635840732
218;3,0046826417233037
219;3,0095452287932742
220;3,0395735921834115
221;3,064864950420484
222;3,0520624291516834
223;3,053782597862212
224;3,004247383675998
225;3,000735018393826
226;3,0156919032825877
227;3,001974715356606
228;3,0037741764462407
229;3,02738371851955
230;3,011874212498416
231;3,0060224989934827
232;3,00320636322685
233;3,031065158984254
234;3,012296014855676
235;3,025809240375068
236;3,002498828905815
237;3,033803401216822
238;3,000270501497881
239;3,0160994741675013
240;3,004590016773503
241;3,000974197728463
242;3,002999624342576
243;3,049541420167187
244;3,0066272649905854
245;3,0039330800783244
246;3,051689480455248
247;3,0067988072152336
248;3,050208067914973
249;3,0190590119693743
250;3,0096649423446786
251;3,016182328115569
252;3,019814070121317
253;3,0512099088677376
254;3,014146814645474
255;3,0713938921596595
256;3,0082598931692384
257;3,023617510390073
258;3,011854774646194
259;3,0541815066834106
260;3,032777293772355
261;3,0385709637977607
262;3,0022067684535347
263;3,0063165781800962
264;3,019451201914159
265;3,012096320142006
266;3,0096914210171617
267;3,0291290903149517
268;3,062087664175489
269;3,0215156561453247
270;3,019332027941957
271;3,0112834049011683
272;3,0355302702145983
273;3,0142318094236265
274;3,0301613400263383
275;3,0429318705087307
276;3,0232607133107914
277;3,0094277695567824
278;3,015086035594475
279;3,0396581097957194
280;3,0020167137398333
281;3,0111584569045613
282;3,01526122306697
283;3,015143733240375
284;3,0324749095624473
285;3,0039683240579222
286;3,0429092250521492
287;3,0188735175080534
288;3,0084297303759513
289;3,0241528899108827
290;3,0431183869518987
291;3,0004553642955676
292;3,0098635326540624
293;3,0163835752609485
294;3,0022513985938355
295;3,005242271177693
296;3,019376206568718
297;3,036006664347405
298;3,005613904551852
299;3,05134259176228
300;3,034034136265859
301;3,0206285563728086
302;3,011446017127197
303;3,0419125343354088
304;3,0217517674122525
305;3,003617010754557
306;3,1039384259446403
307;3,0004170548485707
308;3,012178864628752
309;3,0158300764520587
310;3,015840992527348
311;3,0276140566544862
312;3,0112321263953286
313;3,0049576356305407
314;3,0060365357899927
315;3,05368837800875
316;3,010067514537427
317;3,0244640270572622
318;3,030001081504674
319;3,0060569035534592
320;3,0002772251099605
321;3,0120932547269015
322;3,055231912929271
323;3,001914264771555
324;3,000262327460232
325;3,0046308710860146
326;3,0870940134600553
327;3,044919528277659
328;3,016707193934921
329;3,004261997378898
330;3,047872533243268
331;3,0462124966005755
332;3,0007882908376056
333;3,0051804770376283
334;3,0055918363427434
335;3,1119444898772244
336;3,008402195603754
337;3,008871425358268
338;3,041049557122585
339;3,0235920680102675
340;3,003547045064624
341;3,030964126030063
342;3,058866323551725
343;3,005653880960459
344;3,000102791652968
345;3,012205077741948
346;3,014722953941594
347;3,014838540129075
348;3,0189573001246996
349;3,0257855352851424
350;3,0426549143789714
351;3,0175415104071064
352;3,034652751505771
353;3,0315893596638523
354;3,000793811574181
355;3,017888947692228
356;3,0030828695583915
357;3,028245579011392
358;3,0151326941134298
359;3,0229747197438677
360;3,0787333574400586
361;3,0232598518920932
362;3,002215371701613
363;3,018460521420562
364;3,0239726564685587
365;3,0116463263443634
366;3,0094015985735307
367;3,001687450583363
368;3,0105775689750254
369;3,089270240354913
370;3,127311521692138
371;3,092976497022708
372;3,0008160517529046
373;3,0954641454063303
374;3,0295873466020993
375;3,018636346857697
376;3,003418637633229
377;3,027518578222312
378;3,039441916512045
379;3,0528510717944775
380;3,0064434384262917
381;3,032667542395642
382;3,0534660647842844
383;3,0501866070829737
384;3,0785343033501187
385;3,1320826641178376
386;3,0065347395825395
387;3,0618251956179163
388;3,001146232796134
389;3,0126332433071146
390;3,002448491163764
391;3,0466822648159226
392;3,002074740831331
393;3,042005514977776
394;3,0481155952611276
395;3,0482855145354097
396;3,0272894484717403
397;3,0081280447603467
398;3,0357629481224815
399;3,013886910474631
400;3,022868651145341
401;3,0127594913146702
402;3,0605460019108115
403;3,002043226994842
404;3,026435689860838
405;3,0150570010815967
406;3,027023427493397
407;3,041573969114381
408;3,001593523430381
409;3,0478665980225585
410;3,0327304233027976
411;3,0296648420074783
412;3,005214204438448
413;3,012904380599503
414;3,0185905026661746
415;3,0165643707179663
416;3,024374056199319
417;3,001951633527795
418;3,0111686446771104
419;3,025639348402696
420;3,0293880951796726
421;3,0092300573360222
422;3,0010601443626985
423;3,034426287320569
424;3,028866185980469
425;3,0225159965151573
426;3,003745589830159
427;3,0066022293750647
428;3,000683235853495
429;3,047062969840977
430;3,0014083307441517
431;3,0153718626956127
432;3,0201684071482635
433;3,015242540847021
434;3,031091622807049
435;3,001236393039565
436;3,0354955258955467
437;3,2239365719890842
438;3,015660917084622
439;3,0397338697218848
440;3,014085308389965
441;3,003981198885165
442;3,018983098627312
443;3,0681425496325048
444;3,009286238617414
445;3,0154603210726028
446;3,0370578949478784
447;3,062870880146616
448;3,0041241378585193
449;3,0144757185064055
450;3,0204288365177323
451;3,011284647354806
452;3,031791768707742
453;3,0037536573480454
454;3,010398573776383
455;3,0059139134347834
456;3,00664504607113
457;3,012283148736418
458;3,0164839711469362
459;3,018038110055013
460;3,017550589383895
461;3,0517824926666384
462;3,0301156575226553
463;3,0296904666175664
464;3,008812932165664
465;3,032167172085705
466;3,0361853305121276
467;3,1497786523465674
468;3,0293263063017664
469;3,0097777449756506
470;3,006584305889152
471;3,1125625904569754
472;3,0403928433033167
473;3,0140950321077753
474;3,032038566913645
475;3,0014525774400216
476;3,0152395633686373
477;3,028705593767394
478;3,082091306135114
479;3,0050777742031736
480;3,0693588346980967
481;3,0122622642806944
482;3,0030973153018605
483;3,026093009688494
484;3,0383053353311595
485;3,059060739167505
486;3,0333997860790847
487;3,003067777638525
488;3,0053050261755114
489;3,0396434153869327
490;3,0263484988065352
491;3,0013106266597176
492;3,0606365650709852
493;3,0018773738533353
494;3,0692484702885743
495;3,003923080475975
496;3,0209401859572687
497;3,014351645443293
498;3,1564556235303565
499;3,01105494958968
500;3,0408372250389126
501;3,039051728287202
502;3,0292294849502746
503;3,0101262867252743
504;3,013660749338549
505;3,0015402390092554
506;3,0350034920921916
507;3,026175325400823
508;3,0033977624689987
509;3,0000164808853818
510;3,000457773791698
511;3,0372533039649108
512;3,0379138291380277
513;3,00650389335624
514;3,0096619424557893
515;3,0056382777804975
516;3,090672752392231
517;3,0506495767308843
518;3,006985017754699
519;3,029311197345894
520;3,037809880503212
521;3,006905205880349
522;3,012778261280445
523;3,0025455006424995
524;3,0238896256274055
