Unnamed: 0;date;location;Values;value
73;2020-03-13;Germany;new_cases;802,0
74;2020-03-14;Germany;new_cases;693,0
75;2020-03-15;Germany;new_cases;733,0
76;2020-03-16;Germany;new_cases;1043,0
77;2020-03-17;Germany;new_cases;1174,0
78;2020-03-18;Germany;new_cases;1144,0
79;2020-03-19;Germany;new_cases;1042,0
80;2020-03-20;Germany;new_cases;5940,0
81;2020-03-21;Germany;new_cases;4049,0
82;2020-03-22;Germany;new_cases;3276,0
83;2020-03-23;Germany;new_cases;3311,0
84;2020-03-24;Germany;new_cases;4438,0
85;2020-03-25;Germany;new_cases;2342,0
86;2020-03-26;Germany;new_cases;4954,0
87;2020-03-27;Germany;new_cases;5780,0
88;2020-03-28;Germany;new_cases;6294,0
89;2020-03-29;Germany;new_cases;3965,0
90;2020-03-30;Germany;new_cases;4751,0
91;2020-03-31;Germany;new_cases;4615,0
92;2020-04-01;Germany;new_cases;5453,0
93;2020-04-02;Germany;new_cases;6156,0
94;2020-04-03;Germany;new_cases;6174,0
95;2020-04-04;Germany;new_cases;6082,0
96;2020-04-05;Germany;new_cases;5936,0
97;2020-04-06;Germany;new_cases;3677,0
98;2020-04-07;Germany;new_cases;3834,0
99;2020-04-08;Germany;new_cases;4003,0
100;2020-04-09;Germany;new_cases;4974,0
101;2020-04-10;Germany;new_cases;5323,0
102;2020-04-11;Germany;new_cases;4133,0
103;2020-04-12;Germany;new_cases;2821,0
104;2020-04-13;Germany;new_cases;2537,0
105;2020-04-14;Germany;new_cases;2082,0
106;2020-04-15;Germany;new_cases;2486,0
107;2020-04-16;Germany;new_cases;2866,0
108;2020-04-17;Germany;new_cases;3380,0
109;2020-04-18;Germany;new_cases;3609,0
110;2020-04-19;Germany;new_cases;2458,0
111;2020-04-20;Germany;new_cases;1775,0
112;2020-04-21;Germany;new_cases;1785,0
113;2020-04-22;Germany;new_cases;2237,0
114;2020-04-23;Germany;new_cases;2352,0
115;2020-04-24;Germany;new_cases;2337,0
116;2020-04-25;Germany;new_cases;2055,0
117;2020-04-26;Germany;new_cases;1737,0
118;2020-04-27;Germany;new_cases;1018,0
119;2020-04-28;Germany;new_cases;1144,0
120;2020-04-29;Germany;new_cases;1304,0
121;2020-04-30;Germany;new_cases;1478,0
122;2020-05-01;Germany;new_cases;1639,0
123;2020-05-02;Germany;new_cases;945,0
124;2020-05-03;Germany;new_cases;793,0
125;2020-05-04;Germany;new_cases;679,0
126;2020-05-05;Germany;new_cases;685,0
127;2020-05-06;Germany;new_cases;947,0
128;2020-05-07;Germany;new_cases;1284,0
129;2020-05-08;Germany;new_cases;1209,0
130;2020-05-09;Germany;new_cases;1251,0
131;2020-05-10;Germany;new_cases;667,0
132;2020-05-11;Germany;new_cases;357,0
133;2020-05-12;Germany;new_cases;933,0
134;2020-05-13;Germany;new_cases;798,0
135;2020-05-14;Germany;new_cases;933,0
136;2020-05-15;Germany;new_cases;913,0
137;2020-05-16;Germany;new_cases;620,0
138;2020-05-17;Germany;new_cases;583,0
139;2020-05-18;Germany;new_cases;342,0
140;2020-05-19;Germany;new_cases;513,0
141;2020-05-20;Germany;new_cases;797,0
142;2020-05-21;Germany;new_cases;745,0
143;2020-05-22;Germany;new_cases;460,0
144;2020-05-23;Germany;new_cases;638,0
145;2020-05-24;Germany;new_cases;431,0
146;2020-05-25;Germany;new_cases;289,0
147;2020-05-26;Germany;new_cases;432,0
148;2020-05-27;Germany;new_cases;362,0
149;2020-05-28;Germany;new_cases;353,0
150;2020-05-29;Germany;new_cases;741,0
151;2020-05-30;Germany;new_cases;738,0
152;2020-05-31;Germany;new_cases;286,0
153;2020-06-01;Germany;new_cases;333,0
154;2020-06-02;Germany;new_cases;213,0
155;2020-06-03;Germany;new_cases;342,0
156;2020-06-04;Germany;new_cases;394,0
157;2020-06-05;Germany;new_cases;507,0
158;2020-06-06;Germany;new_cases;407,0
159;2020-06-07;Germany;new_cases;301,0
160;2020-06-08;Germany;new_cases;214,0
161;2020-06-09;Germany;new_cases;350,0
162;2020-06-10;Germany;new_cases;318,0
163;2020-06-11;Germany;new_cases;555,0
164;2020-06-12;Germany;new_cases;258,0
165;2020-06-13;Germany;new_cases;348,0
166;2020-06-14;Germany;new_cases;247,0
167;2020-06-15;Germany;new_cases;192,0
168;2020-06-16;Germany;new_cases;378,0
169;2020-06-17;Germany;new_cases;345,0
170;2020-06-18;Germany;new_cases;580,0
171;2020-06-19;Germany;new_cases;770,0
172;2020-06-20;Germany;new_cases;601,0
173;2020-06-21;Germany;new_cases;687,0
174;2020-06-22;Germany;new_cases;537,0
175;2020-06-23;Germany;new_cases;503,0
176;2020-06-24;Germany;new_cases;587,0
177;2020-06-25;Germany;new_cases;630,0
178;2020-06-26;Germany;new_cases;477,0
179;2020-06-27;Germany;new_cases;687,0
180;2020-06-28;Germany;new_cases;256,0
181;2020-06-29;Germany;new_cases;262,0
182;2020-06-30;Germany;new_cases;498,0
183;2020-07-01;Germany;new_cases;466,0
184;2020-07-02;Germany;new_cases;503,0
185;2020-07-03;Germany;new_cases;446,0
186;2020-07-04;Germany;new_cases;422,0
187;2020-07-05;Germany;new_cases;239,0
188;2020-07-06;Germany;new_cases;219,0
189;2020-07-07;Germany;new_cases;390,0
190;2020-07-08;Germany;new_cases;397,0
191;2020-07-09;Germany;new_cases;442,0
192;2020-07-10;Germany;new_cases;395,0
193;2020-07-11;Germany;new_cases;378,0
194;2020-07-12;Germany;new_cases;248,0
195;2020-07-13;Germany;new_cases;159,0
196;2020-07-14;Germany;new_cases;412,0
197;2020-07-15;Germany;new_cases;351,0
198;2020-07-16;Germany;new_cases;534,0
199;2020-07-17;Germany;new_cases;583,0
200;2020-07-18;Germany;new_cases;529,0
201;2020-07-19;Germany;new_cases;202,0
202;2020-07-20;Germany;new_cases;249,0
203;2020-07-21;Germany;new_cases;522,0
204;2020-07-22;Germany;new_cases;454,0
205;2020-07-23;Germany;new_cases;569,0
206;2020-07-24;Germany;new_cases;815,0
207;2020-07-25;Germany;new_cases;781,0
208;2020-07-26;Germany;new_cases;305,0
209;2020-07-27;Germany;new_cases;340,0
210;2020-07-28;Germany;new_cases;633,0
211;2020-07-29;Germany;new_cases;684,0
212;2020-07-30;Germany;new_cases;902,0
213;2020-07-31;Germany;new_cases;870,0
214;2020-08-01;Germany;new_cases;955,0
215;2020-08-02;Germany;new_cases;240,0
216;2020-08-03;Germany;new_cases;509,0
217;2020-08-04;Germany;new_cases;879,0
218;2020-08-05;Germany;new_cases;741,0
219;2020-08-06;Germany;new_cases;1045,0
220;2020-08-07;Germany;new_cases;1147,0
221;2020-08-08;Germany;new_cases;1122,0
222;2020-08-09;Germany;new_cases;555,0
223;2020-08-10;Germany;new_cases;436,0
224;2020-08-11;Germany;new_cases;966,0
225;2020-08-12;Germany;new_cases;1226,0
226;2020-08-13;Germany;new_cases;1445,0
227;2020-08-14;Germany;new_cases;1449,0
228;2020-08-15;Germany;new_cases;1415,0
229;2020-08-16;Germany;new_cases;625,0
230;2020-08-17;Germany;new_cases;561,0
231;2020-08-18;Germany;new_cases;1390,0
232;2020-08-19;Germany;new_cases;1510,0
233;2020-08-20;Germany;new_cases;1707,0
234;2020-08-21;Germany;new_cases;1427,0
235;2020-08-22;Germany;new_cases;2034,0
236;2020-08-23;Germany;new_cases;782,0
237;2020-08-24;Germany;new_cases;711,0
238;2020-08-25;Germany;new_cases;1278,0
239;2020-08-26;Germany;new_cases;1576,0
240;2020-08-27;Germany;new_cases;1507,0
241;2020-08-28;Germany;new_cases;1571,0
242;2020-08-29;Germany;new_cases;1479,0
243;2020-08-30;Germany;new_cases;785,0
244;2020-08-31;Germany;new_cases;610,0
245;2020-09-01;Germany;new_cases;1218,0
246;2020-09-02;Germany;new_cases;1256,0
247;2020-09-03;Germany;new_cases;1311,0
248;2020-09-04;Germany;new_cases;1453,0
249;2020-09-05;Germany;new_cases;1378,0
250;2020-09-06;Germany;new_cases;988,0
251;2020-09-07;Germany;new_cases;814,0
252;2020-09-08;Germany;new_cases;1499,0
253;2020-09-09;Germany;new_cases;1176,0
254;2020-09-10;Germany;new_cases;1892,0
255;2020-09-11;Germany;new_cases;1484,0
256;2020-09-12;Germany;new_cases;1630,0
257;2020-09-13;Germany;new_cases;948,0
258;2020-09-14;Germany;new_cases;927,0
259;2020-09-15;Germany;new_cases;1407,0
260;2020-09-16;Germany;new_cases;1901,0
261;2020-09-17;Germany;new_cases;2194,0
262;2020-09-18;Germany;new_cases;1916,0
263;2020-09-19;Germany;new_cases;2297,0
264;2020-09-20;Germany;new_cases;1345,0
265;2020-09-21;Germany;new_cases;922,0
266;2020-09-22;Germany;new_cases;1821,0
267;2020-09-23;Germany;new_cases;1769,0
268;2020-09-24;Germany;new_cases;2143,0
269;2020-09-25;Germany;new_cases;2153,0
270;2020-09-26;Germany;new_cases;2507,0
271;2020-09-27;Germany;new_cases;1410,0
272;2020-09-28;Germany;new_cases;1192,0
273;2020-09-29;Germany;new_cases;2089,0
274;2020-09-30;Germany;new_cases;1798,0
275;2020-10-01;Germany;new_cases;2503,0
276;2020-10-02;Germany;new_cases;2673,0
277;2020-10-03;Germany;new_cases;2563,0
278;2020-10-04;Germany;new_cases;2279,0
279;2020-10-05;Germany;new_cases;1382,0
280;2020-10-06;Germany;new_cases;2639,0
281;2020-10-07;Germany;new_cases;2828,0
282;2020-10-08;Germany;new_cases;4058,0
283;2020-10-09;Germany;new_cases;4516,0
284;2020-10-10;Germany;new_cases;4721,0
285;2020-10-11;Germany;new_cases;3483,0
286;2020-10-12;Germany;new_cases;2467,0
287;2020-10-13;Germany;new_cases;4122,0
288;2020-10-14;Germany;new_cases;5132,0
289;2020-10-15;Germany;new_cases;6638,0
290;2020-10-16;Germany;new_cases;7334,0
291;2020-10-17;Germany;new_cases;7830,0
292;2020-10-18;Germany;new_cases;5587,0
293;2020-10-19;Germany;new_cases;4325,0
294;2020-10-20;Germany;new_cases;6868,0
295;2020-10-21;Germany;new_cases;7595,0
296;2020-10-22;Germany;new_cases;11287,0
297;2020-10-23;Germany;new_cases;11242,0
298;2020-10-24;Germany;new_cases;14714,0
299;2020-10-25;Germany;new_cases;11176,0
300;2020-10-26;Germany;new_cases;8685,0
301;2020-10-27;Germany;new_cases;11409,0
302;2020-10-28;Germany;new_cases;14964,0
303;2020-10-29;Germany;new_cases;16774,0
304;2020-10-30;Germany;new_cases;18681,0
305;2020-10-31;Germany;new_cases;19059,0
306;2020-11-01;Germany;new_cases;14177,0
307;2020-11-02;Germany;new_cases;12097,0
308;2020-11-03;Germany;new_cases;15352,0
309;2020-11-04;Germany;new_cases;17214,0
310;2019-12-31;Germany;new_deaths;0,0
311;2020-01-01;Germany;new_deaths;0,0
312;2020-01-02;Germany;new_deaths;0,0
313;2020-01-03;Germany;new_deaths;0,0
314;2020-01-04;Germany;new_deaths;0,0
315;2020-01-05;Germany;new_deaths;0,0
316;2020-01-06;Germany;new_deaths;0,0
317;2020-01-07;Germany;new_deaths;0,0
318;2020-01-08;Germany;new_deaths;0,0
319;2020-01-09;Germany;new_deaths;0,0
320;2020-01-10;Germany;new_deaths;0,0
321;2020-01-11;Germany;new_deaths;0,0
322;2020-01-12;Germany;new_deaths;0,0
323;2020-01-13;Germany;new_deaths;0,0
324;2020-01-14;Germany;new_deaths;0,0
325;2020-01-15;Germany;new_deaths;0,0
326;2020-01-16;Germany;new_deaths;0,0
327;2020-01-17;Germany;new_deaths;0,0
328;2020-01-18;Germany;new_deaths;0,0
329;2020-01-19;Germany;new_deaths;0,0
330;2020-01-20;Germany;new_deaths;0,0
331;2020-01-21;Germany;new_deaths;0,0
332;2020-01-22;Germany;new_deaths;0,0
333;2020-01-23;Germany;new_deaths;0,0
334;2020-01-24;Germany;new_deaths;0,0
335;2020-01-25;Germany;new_deaths;0,0
336;2020-01-26;Germany;new_deaths;0,0
337;2020-01-27;Germany;new_deaths;0,0
338;2020-01-28;Germany;new_deaths;0,0
339;2020-01-29;Germany;new_deaths;0,0
340;2020-01-30;Germany;new_deaths;0,0
341;2020-01-31;Germany;new_deaths;0,0
342;2020-02-01;Germany;new_deaths;0,0
343;2020-02-02;Germany;new_deaths;0,0
344;2020-02-03;Germany;new_deaths;0,0
345;2020-02-04;Germany;new_deaths;0,0
346;2020-02-05;Germany;new_deaths;0,0
347;2020-02-06;Germany;new_deaths;0,0
348;2020-02-07;Germany;new_deaths;0,0
349;2020-02-08;Germany;new_deaths;0,0
350;2020-02-09;Germany;new_deaths;0,0
351;2020-02-10;Germany;new_deaths;0,0
352;2020-02-11;Germany;new_deaths;0,0
353;2020-02-12;Germany;new_deaths;0,0
354;2020-02-13;Germany;new_deaths;0,0
355;2020-02-14;Germany;new_deaths;0,0
356;2020-02-15;Germany;new_deaths;0,0
357;2020-02-16;Germany;new_deaths;0,0
358;2020-02-17;Germany;new_deaths;0,0
359;2020-02-18;Germany;new_deaths;0,0
360;2020-02-19;Germany;new_deaths;0,0
361;2020-02-20;Germany;new_deaths;0,0
362;2020-02-21;Germany;new_deaths;0,0
363;2020-02-22;Germany;new_deaths;0,0
364;2020-02-23;Germany;new_deaths;0,0
365;2020-02-24;Germany;new_deaths;0,0
366;2020-02-25;Germany;new_deaths;0,0
367;2020-02-26;Germany;new_deaths;0,0
368;2020-02-27;Germany;new_deaths;0,0
369;2020-02-28;Germany;new_deaths;0,0
370;2020-02-29;Germany;new_deaths;0,0
371;2020-03-01;Germany;new_deaths;0,0
372;2020-03-02;Germany;new_deaths;0,0
373;2020-03-03;Germany;new_deaths;0,0
374;2020-03-04;Germany;new_deaths;0,0
375;2020-03-05;Germany;new_deaths;0,0
376;2020-03-06;Germany;new_deaths;0,0
377;2020-03-07;Germany;new_deaths;0,0
378;2020-03-08;Germany;new_deaths;0,0
379;2020-03-09;Germany;new_deaths;0,0
380;2020-03-10;Germany;new_deaths;2,0
381;2020-03-11;Germany;new_deaths;0,0
382;2020-03-12;Germany;new_deaths;1,0
383;2020-03-13;Germany;new_deaths;2,0
384;2020-03-14;Germany;new_deaths;0,0
385;2020-03-15;Germany;new_deaths;3,0
386;2020-03-16;Germany;new_deaths;4,0
387;2020-03-17;Germany;new_deaths;1,0
388;2020-03-18;Germany;new_deaths;0,0
389;2020-03-19;Germany;new_deaths;0,0
390;2020-03-20;Germany;new_deaths;30,0
391;2020-03-21;Germany;new_deaths;2,0
392;2020-03-22;Germany;new_deaths;22,0
393;2020-03-23;Germany;new_deaths;27,0
394;2020-03-24;Germany;new_deaths;32,0
395;2020-03-25;Germany;new_deaths;23,0
396;2020-03-26;Germany;new_deaths;49,0
397;2020-03-27;Germany;new_deaths;55,0
398;2020-03-28;Germany;new_deaths;72,0
399;2020-03-29;Germany;new_deaths;64,0
400;2020-03-30;Germany;new_deaths;66,0
401;2020-03-31;Germany;new_deaths;128,0
402;2020-04-01;Germany;new_deaths;149,0
403;2020-04-02;Germany;new_deaths;140,0
404;2020-04-03;Germany;new_deaths;145,0
405;2020-04-04;Germany;new_deaths;141,0
406;2020-04-05;Germany;new_deaths;184,0
407;2020-04-06;Germany;new_deaths;92,0
408;2020-04-07;Germany;new_deaths;173,0
409;2020-04-08;Germany;new_deaths;254,0
410;2020-04-09;Germany;new_deaths;246,0
411;2020-04-10;Germany;new_deaths;266,0
412;2020-04-11;Germany;new_deaths;171,0
413;2020-04-12;Germany;new_deaths;129,0
414;2020-04-13;Germany;new_deaths;126,0
415;2020-04-14;Germany;new_deaths;170,0
416;2020-04-15;Germany;new_deaths;285,0
417;2020-04-16;Germany;new_deaths;315,0
418;2020-04-17;Germany;new_deaths;299,0
419;2020-04-18;Germany;new_deaths;242,0
420;2020-04-19;Germany;new_deaths;184,0
421;2020-04-20;Germany;new_deaths;110,0
422;2020-04-21;Germany;new_deaths;194,0
423;2020-04-22;Germany;new_deaths;281,0
424;2020-04-23;Germany;new_deaths;215,0
425;2020-04-24;Germany;new_deaths;227,0
426;2020-04-25;Germany;new_deaths;179,0
427;2020-04-26;Germany;new_deaths;140,0
428;2020-04-27;Germany;new_deaths;110,0
429;2020-04-28;Germany;new_deaths;163,0
430;2020-04-29;Germany;new_deaths;202,0
431;2020-04-30;Germany;new_deaths;173,0
432;2020-05-01;Germany;new_deaths;193,0
433;2020-05-02;Germany;new_deaths;94,0
434;2020-05-03;Germany;new_deaths;74,0
435;2020-05-04;Germany;new_deaths;43,0
436;2020-05-05;Germany;new_deaths;139,0
437;2020-05-06;Germany;new_deaths;165,0
438;2020-05-07;Germany;new_deaths;123,0
439;2020-05-08;Germany;new_deaths;147,0
440;2020-05-09;Germany;new_deaths;103,0
441;2020-05-10;Germany;new_deaths;26,0
442;2020-05-11;Germany;new_deaths;22,0
443;2020-05-12;Germany;new_deaths;116,0
444;2020-05-13;Germany;new_deaths;101,0
445;2020-05-14;Germany;new_deaths;89,0
446;2020-05-15;Germany;new_deaths;101,0
447;2020-05-16;Germany;new_deaths;57,0
448;2020-05-17;Germany;new_deaths;33,0
449;2020-05-18;Germany;new_deaths;21,0
450;2020-05-19;Germany;new_deaths;72,0
451;2020-05-20;Germany;new_deaths;83,0
452;2020-05-21;Germany;new_deaths;57,0
453;2020-05-22;Germany;new_deaths;27,0
454;2020-05-23;Germany;new_deaths;42,0
455;2020-05-24;Germany;new_deaths;31,0
456;2020-05-25;Germany;new_deaths;10,0
457;2020-05-26;Germany;new_deaths;45,0
458;2020-05-27;Germany;new_deaths;47,0
459;2020-05-28;Germany;new_deaths;62,0
460;2020-05-29;Germany;new_deaths;39,0
461;2020-05-30;Germany;new_deaths;39,0
462;2020-05-31;Germany;new_deaths;11,0
463;2020-06-01;Germany;new_deaths;11,0
464;2020-06-02;Germany;new_deaths;11,0
465;2020-06-03;Germany;new_deaths;29,0
466;2020-06-04;Germany;new_deaths;30,0
467;2020-06-05;Germany;new_deaths;32,0
468;2020-06-06;Germany;new_deaths;33,0
469;2020-06-07;Germany;new_deaths;22,0
470;2020-06-08;Germany;new_deaths;6,0
471;2020-06-09;Germany;new_deaths;37,0
472;2020-06-10;Germany;new_deaths;18,0
473;2020-06-11;Germany;new_deaths;26,0
474;2020-06-12;Germany;new_deaths;8,0
475;2020-06-13;Germany;new_deaths;18,0
476;2020-06-14;Germany;new_deaths;6,0
477;2020-06-15;Germany;new_deaths;4,0
478;2020-06-16;Germany;new_deaths;9,0
479;2020-06-17;Germany;new_deaths;30,0
480;2020-06-18;Germany;new_deaths;26,0
481;2020-06-19;Germany;new_deaths;16,0
482;2020-06-20;Germany;new_deaths;10,0
483;2020-06-21;Germany;new_deaths;0,0
484;2020-06-22;Germany;new_deaths;3,0
485;2020-06-23;Germany;new_deaths;10,0
486;2020-06-24;Germany;new_deaths;19,0
487;2020-06-25;Germany;new_deaths;13,0
488;2020-06-26;Germany;new_deaths;21,0
489;2020-06-27;Germany;new_deaths;6,0
490;2020-06-28;Germany;new_deaths;3,0
491;2020-06-29;Germany;new_deaths;4,0
492;2020-06-30;Germany;new_deaths;12,0
493;2020-07-01;Germany;new_deaths;12,0
494;2020-07-02;Germany;new_deaths;9,0
495;2020-07-03;Germany;new_deaths;9,0
496;2020-07-04;Germany;new_deaths;7,0
497;2020-07-05;Germany;new_deaths;2,0
498;2020-07-06;Germany;new_deaths;4,0
499;2020-07-07;Germany;new_deaths;8,0
500;2020-07-08;Germany;new_deaths;12,0
501;2020-07-09;Germany;new_deaths;12,0
502;2020-07-10;Germany;new_deaths;6,0
503;2020-07-11;Germany;new_deaths;6,0
504;2020-07-12;Germany;new_deaths;3,0
505;2020-07-13;Germany;new_deaths;1,0
506;2020-07-14;Germany;new_deaths;4,0
507;2020-07-15;Germany;new_deaths;3,0
508;2020-07-16;Germany;new_deaths;7,0
509;2020-07-17;Germany;new_deaths;4,0
510;2020-07-18;Germany;new_deaths;1,0
511;2020-07-19;Germany;new_deaths;1,0
512;2020-07-20;Germany;new_deaths;2,0
513;2020-07-21;Germany;new_deaths;4,0
514;2020-07-22;Germany;new_deaths;5,0
515;2020-07-23;Germany;new_deaths;6,0
516;2020-07-24;Germany;new_deaths;10,0
517;2020-07-25;Germany;new_deaths;7,0
518;2020-07-26;Germany;new_deaths;0,0
519;2020-07-27;Germany;new_deaths;0,0
520;2020-07-28;Germany;new_deaths;4,0
521;2020-07-29;Germany;new_deaths;6,0
522;2020-07-30;Germany;new_deaths;6,0
523;2020-07-31;Germany;new_deaths;7,0
524;2020-08-01;Germany;new_deaths;0,0
525;2020-08-02;Germany;new_deaths;0,0
526;2020-08-03;Germany;new_deaths;7,0
527;2020-08-04;Germany;new_deaths;8,0
528;2020-08-05;Germany;new_deaths;12,0
529;2020-08-06;Germany;new_deaths;7,0
530;2020-08-07;Germany;new_deaths;8,0
531;2020-08-08;Germany;new_deaths;12,0
532;2020-08-09;Germany;new_deaths;1,0
533;2020-08-10;Germany;new_deaths;1,0
534;2020-08-11;Germany;new_deaths;4,0
535;2020-08-12;Germany;new_deaths;6,0
536;2020-08-13;Germany;new_deaths;4,0
537;2020-08-14;Germany;new_deaths;14,0
538;2020-08-15;Germany;new_deaths;6,0
539;2020-08-16;Germany;new_deaths;0,0
540;2020-08-17;Germany;new_deaths;1,0
541;2020-08-18;Germany;new_deaths;4,0
542;2020-08-19;Germany;new_deaths;7,0
543;2020-08-20;Germany;new_deaths;10,0
544;2020-08-21;Germany;new_deaths;7,0
545;2020-08-22;Germany;new_deaths;7,0
546;2020-08-23;Germany;new_deaths;2,0
547;2020-08-24;Germany;new_deaths;3,0
548;2020-08-25;Germany;new_deaths;5,0
549;2020-08-26;Germany;new_deaths;3,0
550;2020-08-27;Germany;new_deaths;5,0
551;2020-08-28;Germany;new_deaths;3,0
552;2020-08-29;Germany;new_deaths;1,0
553;2020-08-30;Germany;new_deaths;6,0
554;2020-08-31;Germany;new_deaths;3,0
555;2020-09-01;Germany;new_deaths;4,0
556;2020-09-02;Germany;new_deaths;11,0
557;2020-09-03;Germany;new_deaths;8,0
558;2020-09-04;Germany;new_deaths;1,0
559;2020-09-05;Germany;new_deaths;2,0
560;2020-09-06;Germany;new_deaths;1,0
561;2020-09-07;Germany;new_deaths;0,0
562;2020-09-08;Germany;new_deaths;4,0
563;2020-09-09;Germany;new_deaths;9,0
564;2020-09-10;Germany;new_deaths;3,0
565;2020-09-11;Germany;new_deaths;1,0
566;2020-09-12;Germany;new_deaths;5,0
567;2020-09-13;Germany;new_deaths;2,0
568;2020-09-14;Germany;new_deaths;1,0
569;2020-09-15;Germany;new_deaths;12,0
570;2020-09-16;Germany;new_deaths;6,0
571;2020-09-17;Germany;new_deaths;3,0
572;2020-09-18;Germany;new_deaths;7,0
573;2020-09-19;Germany;new_deaths;6,0
574;2020-09-20;Germany;new_deaths;2,0
575;2020-09-21;Germany;new_deaths;0,0
576;2020-09-22;Germany;new_deaths;10,0
577;2020-09-23;Germany;new_deaths;13,0
578;2020-09-24;Germany;new_deaths;19,0
579;2020-09-25;Germany;new_deaths;15,0
580;2020-09-26;Germany;new_deaths;9,0
581;2020-09-27;Germany;new_deaths;5,0
582;2020-09-28;Germany;new_deaths;3,0
583;2020-09-29;Germany;new_deaths;11,0
584;2020-09-30;Germany;new_deaths;17,0
585;2020-10-01;Germany;new_deaths;12,0
586;2020-10-02;Germany;new_deaths;8,0
587;2020-10-03;Germany;new_deaths;19,0
588;2020-10-04;Germany;new_deaths;2,0
589;2020-10-05;Germany;new_deaths;5,0
590;2020-10-06;Germany;new_deaths;12,0
591;2020-10-07;Germany;new_deaths;16,0
592;2020-10-08;Germany;new_deaths;16,0
593;2020-10-09;Germany;new_deaths;11,0
594;2020-10-10;Germany;new_deaths;15,0
595;2020-10-11;Germany;new_deaths;11,0
596;2020-10-12;Germany;new_deaths;6,0
597;2020-10-13;Germany;new_deaths;13,0
598;2020-10-14;Germany;new_deaths;43,0
599;2020-10-15;Germany;new_deaths;33,0
600;2020-10-16;Germany;new_deaths;24,0
601;2020-10-17;Germany;new_deaths;33,0
602;2020-10-18;Germany;new_deaths;10,0
603;2020-10-19;Germany;new_deaths;12,0
604;2020-10-20;Germany;new_deaths;47,0
605;2020-10-21;Germany;new_deaths;39,0
606;2020-10-22;Germany;new_deaths;30,0
607;2020-10-23;Germany;new_deaths;49,0
608;2020-10-24;Germany;new_deaths;49,0
609;2020-10-25;Germany;new_deaths;29,0
610;2020-10-26;Germany;new_deaths;24,0
611;2020-10-27;Germany;new_deaths;42,0
612;2020-10-28;Germany;new_deaths;85,0
613;2020-10-29;Germany;new_deaths;89,0
614;2020-10-30;Germany;new_deaths;77,0
