;Unnamed: 0;country;nuts_1;cases;cases/100k pop.;deaths;datetime;datum
2739;2739;DE;Saarland;2930;295,80750906857;174;2020-08-09T22:00:00;2020-08-09 22:00:00.000
2755;2755;DE;Saarland;2942;297,019007399226;174;2020-08-10T22:00:00;2020-08-10 22:00:00.000
2771;2771;DE;Saarland;2952;298,02858934143995;174;2020-08-11T22:00:00;2020-08-11 22:00:00.000
2787;2787;DE;Saarland;2955;298,331463924104;174;2020-08-12T22:00:00;2020-08-12 22:00:00.000
2803;2803;DE;Saarland;2976;300,451586002752;174;2020-08-13T22:00:00;2020-08-13 22:00:00.000
2819;2819;DE;Saarland;2986;301,461167944966;174;2020-08-14T22:00:00;2020-08-14 22:00:00.000
2835;2835;DE;Saarland;3000;302,87458266406503;174;2020-08-15T22:00:00;2020-08-15 22:00:00.000
2851;2851;DE;Saarland;3000;302,87458266406503;174;2020-08-16T22:00:00;2020-08-16 22:00:00.000
2867;2867;DE;Saarland;3008;303,682248217835;174;2020-08-17T22:00:00;2020-08-17 22:00:00.000
2883;2883;DE;Saarland;3017;304,590871965828;174;2020-08-18T22:00:00;2020-08-18 22:00:00.000
2899;2899;DE;Saarland;3039;306,811952238697;174;2020-08-19T22:00:00;2020-08-19 22:00:00.000
2915;2915;DE;Saarland;3040;306,91291043291903;174;2020-08-20T22:00:00;2020-08-20 22:00:00.000
2931;2931;DE;Saarland;3055;308,427283346239;174;2020-08-21T22:00:00;2020-08-21 22:00:00.000
2947;2947;DE;Saarland;3071;310,042614453781;174;2020-08-22T22:00:00;2020-08-22 22:00:00.000
2963;2963;DE;Saarland;3076;310,547405424888;174;2020-08-23T22:00:00;2020-08-23 22:00:00.000
2979;2979;DE;Saarland;3080;310,951238201773;174;2020-08-24T22:00:00;2020-08-24 22:00:00.000
2995;2995;DE;Saarland;3085;311,45602917288;174;2020-08-25T22:00:00;2020-08-25 22:00:00.000
3011;3011;DE;Saarland;3095;312,465611115093;174;2020-08-26T22:00:00;2020-08-26 22:00:00.000
3027;3027;DE;Saarland;3112;314,181900416856;174;2020-08-27T22:00:00;2020-08-27 22:00:00.000
3043;3043;DE;Saarland;3126;315,595315135955;174;2020-08-28T22:00:00;2020-08-28 22:00:00.000
3059;3059;DE;Saarland;3153;318,321186379932;174;2020-08-29T22:00:00;2020-08-29 22:00:00.000
3075;3075;DE;Saarland;3154;318,422144574153;174;2020-08-30T22:00:00;2020-08-30 22:00:00.000
3091;3091;DE;Saarland;3151;318,119269991489;174;2020-08-31T22:00:00;2020-08-31 22:00:00.000
3107;3107;DE;Saarland;3157;318,72501915681704;174;2020-09-01T22:00:00;2020-09-01 22:00:00.000
3123;3123;DE;Saarland;3168;319,835559293252;174;2020-09-02T22:00:00;2020-09-02 22:00:00.000
3139;3139;DE;Saarland;3176;320,643224847023;174;2020-09-03T22:00:00;2020-09-03 22:00:00.000
3161;3161;DE;Saarland;0;320,03747568169496;0;2020-09-04T13:32:08.703000;2020-09-04 13:32:08.703
3171;3171;DE;Saarland;3189;321,955681371901;174;2020-09-04T22:00:00;2020-09-04 22:00:00.000
3187;3187;DE;Saarland;3197;322,763346925672;174;2020-09-05T22:00:00;2020-09-05 22:00:00.000
3203;3203;DE;Saarland;3199;322,965263314114;174;2020-09-06T22:00:00;2020-09-06 22:00:00.000
3219;3219;DE;Saarland;3199;322,965263314114;174;2020-09-07T22:00:00;2020-09-07 22:00:00.000
3235;3235;DE;Saarland;3208;323,873887062106;175;2020-09-08T22:00:00;2020-09-08 22:00:00.000
3251;3251;DE;Saarland;3218;324,8834690043201;175;2020-09-09T22:00:00;2020-09-09 22:00:00.000
3267;3267;DE;Saarland;3222;325,287301781205;175;2020-09-10T22:00:00;2020-09-10 22:00:00.000
3283;3283;DE;Saarland;3225;325,59017636386903;175;2020-09-11T22:00:00;2020-09-11 22:00:00.000
3299;3299;DE;Saarland;3243;327,407423859854;175;2020-09-12T22:00:00;2020-09-12 22:00:00.000
3315;3315;DE;Saarland;3245;327,6093402482972;175;2020-09-13T22:00:00;2020-09-13 22:00:00.000
3331;3331;DE;Saarland;3234;326,498800111862;175;2020-09-14T22:00:00;2020-09-14 22:00:00.000
3347;3347;DE;Saarland;3240;327,10454927718996;175;2020-09-15T22:00:00;2020-09-15 22:00:00.000
3363;3363;DE;Saarland;3262;329,32562955006;176;2020-09-16T22:00:00;2020-09-16 22:00:00.000
3379;3379;DE;Saarland;3214;324,479636227435;176;2020-09-17T22:00:00;2020-09-17 22:00:00.000
3395;3395;DE;Saarland;3227;325,792092752312;176;2020-09-18T22:00:00;2020-09-18 22:00:00.000
3411;3411;DE;Saarland;3232;326,296883723419;176;2020-09-19T22:00:00;2020-09-19 22:00:00.000
3427;3427;DE;Saarland;3234;326,498800111862;176;2020-09-20T22:00:00;2020-09-20 22:00:00.000
3443;3443;DE;Saarland;3234;326,498800111862;176;2020-09-21T22:00:00;2020-09-21 22:00:00.000
3459;3459;DE;Saarland;3252;328,316047607846;176;2020-09-22T22:00:00;2020-09-22 22:00:00.000
3475;3475;DE;Saarland;3262;329,32562955006;176;2020-09-23T22:00:00;2020-09-23 22:00:00.000
3491;3491;DE;Saarland;3270;330,13329510383;176;2020-09-24T22:00:00;2020-09-24 22:00:00.000
3507;3507;DE;Saarland;3288;331,950542599815;176;2020-09-25T22:00:00;2020-09-25 22:00:00.000
3523;3523;DE;Saarland;3295;332,65724995936404;176;2020-09-26T22:00:00;2020-09-26 22:00:00.000
3539;3539;DE;Saarland;3295;332,65724995936404;176;2020-09-27T22:00:00;2020-09-27 22:00:00.000
3555;3555;DE;Saarland;3297;332,859166347807;177;2020-09-28T22:00:00;2020-09-28 22:00:00.000
3571;3571;DE;Saarland;3297;332,859166347807;177;2020-09-29T22:00:00;2020-09-29 22:00:00.000
3587;3587;DE;Saarland;3315;334,676413843791;177;2020-09-30T22:00:00;2020-09-30 22:00:00.000
3603;3603;DE;Saarland;3338;336,998452310883;177;2020-10-01T22:00:00;2020-10-01 22:00:00.000
3619;3619;DE;Saarland;3380;341,23869646817997;177;2020-10-02T22:00:00;2020-10-02 22:00:00.000
3635;3635;DE;Saarland;3380;341,23869646817997;177;2020-10-03T22:00:00;2020-10-03 22:00:00.000
3651;3651;DE;Saarland;3380;341,23869646817997;177;2020-10-04T22:00:00;2020-10-04 22:00:00.000
3667;3667;DE;Saarland;3449;348,20481186945295;177;2020-10-05T22:00:00;2020-10-05 22:00:00.000
3683;3683;DE;Saarland;3489;352,243139638307;177;2020-10-06T22:00:00;2020-10-06 22:00:00.000
3699;3699;DE;Saarland;3499;354,549203708226;177;2020-10-07T22:00:00;2020-10-07 22:00:00.000
3715;3715;DE;Saarland;3551;359,8182973329271;177;2020-10-08T22:00:00;2020-10-08 22:00:00.000
3731;3731;DE;Saarland;3586;363,364802657244;177;2020-10-09T22:00:00;2020-10-09 22:00:00.000
3747;3747;DE;Saarland;3673;372,180401606263;177;2020-10-10T22:00:00;2020-10-10 22:00:00.000
3763;3763;DE;Saarland;3703;375,220263312821;177;2020-10-11T22:00:00;2020-10-11 22:00:00.000
3779;3779;DE;Saarland;3720;376,94285161320397;177;2020-10-12T22:00:00;2020-10-12 22:00:00.000
3795;3795;DE;Saarland;3867;391,838173975339;177;2020-10-13T22:00:00;2020-10-13 22:00:00.000
3811;3811;DE;Saarland;3960;401,2617452656691;177;2020-10-14T22:00:00;2020-10-14 22:00:00.000
3827;3827;DE;Saarland;4013;406,63216761392096;177;2020-10-15T22:00:00;2020-10-15 22:00:00.000
3843;3843;DE;Saarland;4221;427,708542112724;177;2020-10-16T22:00:00;2020-10-16 22:00:00.000
3859;3859;DE;Saarland;4356;441,387919792236;177;2020-10-17T22:00:00;2020-10-17 22:00:00.000
3875;3875;DE;Saarland;4415;447,3663144818;177;2020-10-18T22:00:00;2020-10-18 22:00:00.000
3891;3891;DE;Saarland;4437;449,595546399942;177;2020-10-19T22:00:00;2020-10-19 22:00:00.000
3907;3907;DE;Saarland;4467;452,635408106501;177;2020-10-20T22:00:00;2020-10-20 22:00:00.000
3923;3923;DE;Saarland;4625;468,645346427707;178;2020-10-21T22:00:00;2020-10-21 22:00:00.000
3939;3939;DE;Saarland;4856;492,05228156820397;178;2020-10-22T22:00:00;2020-10-22 22:00:00.000
3955;3955;DE;Saarland;5008;507,454247548098;178;2020-10-23T22:00:00;2020-10-23 22:00:00.000
3971;3971;DE;Saarland;5289;535,927618866192;178;2020-10-24T22:00:00;2020-10-24 22:00:00.000
3987;3987;DE;Saarland;5321;539,170138019854;179;2020-10-25T23:00:00;2020-10-25 23:00:00.000
4003;4003;DE;Saarland;5455;552,748186975814;180;2020-10-26T23:00:00;2020-10-26 23:00:00.000
4019;4019;DE;Saarland;5576;565,008962525598;181;2020-10-27T23:00:00;2020-10-27 23:00:00.000
4035;4035;DE;Saarland;5806;588,314568942544;183;2020-10-28T23:00:00;2020-10-28 23:00:00.000
4051;4051;DE;Saarland;6142;622,361020055994;186;2020-10-29T23:00:00;2020-10-29 23:00:00.000
4067;4067;DE;Saarland;6249;633,2031934760511;188;2020-10-30T23:00:00;2020-10-30 23:00:00.000
4083;4083;DE;Saarland;6740;682,955596740052;192;2020-10-31T23:00:00;2020-10-31 23:00:00.000
4099;4099;DE;Saarland;7029;712,239597846562;192;2020-11-01T23:00:00;2020-11-01 23:00:00.000
4115;4115;DE;Saarland;7228;732,404013833397;194;2020-11-02T23:00:00;2020-11-02 23:00:00.000
4131;4131;DE;Saarland;7313;741,016955335312;194;2020-11-03T23:00:00;2020-11-03 23:00:00.000
4147;4147;DE;Saarland;7564;766,450464946848;195;2020-11-04T23:00:00;2020-11-04 23:00:00.000
4163;4163;DE;Saarland;7765;786,817538380787;198;2020-11-05T23:00:00;2020-11-05 23:00:00.000
4179;4179;DE;Saarland;8130;823,802522477244;199;2020-11-06T23:00:00;2020-11-06 23:00:00.000
4195;4195;DE;Saarland;8327;843,764281016976;199;2020-11-07T23:00:00;2020-11-07 23:00:00.000
4211;4211;DE;Saarland;8426;853,795824648617;201;2020-11-08T23:00:00;2020-11-08 23:00:00.000
4227;4227;DE;Saarland;8640;875,480171488732;202;2020-11-09T23:00:00;2020-11-09 23:00:00.000
4243;4243;DE;Saarland;9012;913,174456650052;205;2020-11-10T23:00:00;2020-11-10 23:00:00.000
4259;4259;DE;Saarland;9276;939,9252396677632;207;2020-11-11T23:00:00;2020-11-11 23:00:00.000
4275;4275;DE;Saarland;9452;957,759095012904;208;2020-11-12T23:00:00;2020-11-12 23:00:00.000
