;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;new_vaccinations_smoothed_per_million;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;death diff cases;%death;new death diff cases;%new death
10;10;21095;21095;DEU;Europe;Germany;2020-02-06;12,0;0,0;1,143;;;0,0;0,14300000000000002;0,0;0,014;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,56;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
11;11;21096;21096;DEU;Europe;Germany;2020-02-07;13,0;1,0;1,143;;;0,0;0,155;0,012;0,014;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,56;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
12;12;21097;21097;DEU;Europe;Germany;2020-02-08;13,0;0,0;0,7140000000000001;;;0,0;0,155;0,0;0,009000000000000001;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,56;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
13;13;21098;21098;DEU;Europe;Germany;2020-02-09;14,0;1,0;0,5710000000000001;;;0,0;0,16699999999999998;0,012;0,006999999999999999;;;0,0;;;;;;;;24,221;0,289;;;;;;;;;;;;;;;;;;;5,56;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
14;14;21099;21099;DEU;Europe;Germany;2020-02-10;14,0;0,0;0,28600000000000003;;;0,0;0,16699999999999998;0,0;0,003;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,56;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
15;15;21100;21100;DEU;Europe;Germany;2020-02-11;16,0;2,0;0,5710000000000001;;;0,0;0,191;0,024;0,006999999999999999;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,56;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
16;16;21101;21101;DEU;Europe;Germany;2020-02-12;16,0;0,0;0,5710000000000001;;;0,0;0,191;0,0;0,006999999999999999;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
17;17;21102;21102;DEU;Europe;Germany;2020-02-13;16,0;0,0;0,5710000000000001;;;0,0;0,191;0,0;0,006999999999999999;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
18;18;21103;21103;DEU;Europe;Germany;2020-02-14;16,0;0,0;0,429;;;0,0;0,191;0,0;0,005;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
19;19;21104;21104;DEU;Europe;Germany;2020-02-15;16,0;0,0;0,429;;;0,0;0,191;0,0;0,005;;;0,0;;;;;;;;35,322;0,422;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
20;20;21105;21105;DEU;Europe;Germany;2020-02-16;16,0;0,0;0,28600000000000003;;;0,0;0,191;0,0;0,003;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
21;21;21106;21106;DEU;Europe;Germany;2020-02-17;16,0;0,0;0,28600000000000003;;;0,0;0,191;0,0;0,003;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
22;22;21107;21107;DEU;Europe;Germany;2020-02-18;16,0;0,0;0,0;;;0,0;0,191;0,0;0,0;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
23;23;21108;21108;DEU;Europe;Germany;2020-02-19;16,0;0,0;0,0;;;0,0;0,191;0,0;0,0;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
24;24;21109;21109;DEU;Europe;Germany;2020-02-20;16,0;0,0;0,0;;;0,0;0,191;0,0;0,0;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
25;25;21110;21110;DEU;Europe;Germany;2020-02-21;16,0;0,0;0,0;;;0,0;0,191;0,0;0,0;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
26;26;21111;21111;DEU;Europe;Germany;2020-02-22;16,0;0,0;0,0;;;0,0;0,191;0,0;0,0;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
27;27;21112;21112;DEU;Europe;Germany;2020-02-23;16,0;0,0;0,0;;;0,0;0,191;0,0;0,0;;;0,0;;;;;;;;57,525;0,687;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
28;28;21113;21113;DEU;Europe;Germany;2020-02-24;16,0;0,0;0,0;;;0,0;0,191;0,0;0,0;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
29;29;21114;21114;DEU;Europe;Germany;2020-02-25;17,0;1,0;0,14300000000000002;;;0,0;0,203;0,012;0,002;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
30;30;21115;21115;DEU;Europe;Germany;2020-02-26;27,0;10,0;1,571;;;0,0;0,322;0,119;0,019;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,67;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
31;31;21116;21116;DEU;Europe;Germany;2020-02-27;46,0;19,0;4,2860000000000005;;;0,0;0,5489999999999999;0,227;0,051;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,67;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
32;32;21117;21117;DEU;Europe;Germany;2020-02-28;48,0;2,0;4,5710000000000015;;;0,0;0,573;0,024;0,055;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,44;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
33;33;21118;21118;DEU;Europe;Germany;2020-02-29;79,0;31,0;9,0;;;0,0;0,943;0,37;0,107;;;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
34;34;21119;21119;DEU;Europe;Germany;2020-03-01;130,0;51,0;16,285999999999998;;;0,0;1,5519999999999998;0,609;0,194;;;0,0;;;;;;;;180,649;2,156;;;;;;;;;;;;;;;;;;;25,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
35;35;21120;21120;DEU;Europe;Germany;2020-03-02;159,0;29,0;20,429;;;0,0;1,898;0,34600000000000003;0,244;;;0,0;2,89;;;;;;;;;;;;;;;;;;;;;;;;;;;25,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
36;36;21121;21121;DEU;Europe;Germany;2020-03-03;196,0;37,0;25,571;;;0,0;2,339;0,442;0,305;;;0,0;2,93;;;;;;;;;;;;;;;;;;;;;;;;;;;25,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
37;37;21122;21122;DEU;Europe;Germany;2020-03-04;262,0;66,0;33,571;;;0,0;3,127;0,7879999999999999;0,401;;;0,0;2,99;;;;;;;;;;;;;;;;;;;;;;;;;;;25,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
38;38;21123;21123;DEU;Europe;Germany;2020-03-05;482,0;220,0;62,286;;;0,0;5,752999999999999;2,6260000000000003;0,743;;;0,0;3,06;;;;;;;;;;;;;;;;;;;;;;;;;;;25,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
39;39;21124;21124;DEU;Europe;Germany;2020-03-06;670,0;188,0;88,85700000000001;;;0,0;7,997000000000001;2,244;1,061;;;0,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;25,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
40;40;21125;21125;DEU;Europe;Germany;2020-03-07;799,0;129,0;102,857;;;0,0;9,536;1,54;1,228;;;0,0;2,94;;;;;;;;;;;;;;;;;;;;;;;;;;;25,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
41;41;21126;21126;DEU;Europe;Germany;2020-03-08;1040,0;241,0;130,0;;;0,0;12,413;2,8760000000000003;1,5519999999999998;;;0,0;2,9;;;;;;;336,06699999999995;4,011;;;;;;;;;;;;;;;;;;;25,0;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;;;;
42;42;21127;21127;DEU;Europe;Germany;2020-03-09;1176,0;136,0;145,286;2,0;2,0;0,28600000000000003;14,036;1,6230000000000002;1,734;0,024;0,024;0,003;2,87;;;;;;;;;;;;;;;;;;;;;;;;;;;28,7;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,0017006802721088435;0,17006802721088435;0,014705882352941175;1,4705882352941175
43;43;21128;21128;DEU;Europe;Germany;2020-03-10;1457,0;281,0;180,143;2,0;0,0;0,28600000000000003;17,39;3,354;2,15;0,024;0,0;0,003;2,88;;;;;;;;;;;;;;;;;;;;;;;;;;;32,87;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,0013726835964310224;0,13726835964310224;0,0;0,0
44;44;21129;21129;DEU;Europe;Germany;2020-03-11;1908,0;451,0;235,143;3,0;1,0;0,429;22,773000000000003;5,382999999999999;2,807;0,036000000000000004;0,012;0,005;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;32,87;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,0015723270440251573;0,15723270440251574;0,0022172949002217295;0,22172949002217296
45;45;21130;21130;DEU;Europe;Germany;2020-03-12;2078,0;170,0;228,0;3,0;0,0;0,429;24,802;2,029;2,721;0,036000000000000004;0,0;0,005;2,91;;;;;;;;;;;;;;;;;;;;;;;;;;;32,87;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,0014436958614051972;0,14436958614051973;0,0;0,0
46;46;21131;21131;DEU;Europe;Germany;2020-03-13;3675,0;1597,0;429,286;7,0;4,0;1,0;43,863;19,061;5,124;0,084;0,048;0,012;2,97;;;;;;;;;;;;;;;;;;;;;;;;;;;32,87;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,0019047619047619048;0,19047619047619047;0,0025046963055729487;0,2504696305572949
47;47;21132;21132;DEU;Europe;Germany;2020-03-14;4585,0;910,0;540,857;9,0;2,0;1,286;54,724;10,861;6,455;0,107;0,024;0,015;2,87;;;;;;;;;;;;;;;;;;;;;;;;;;;32,87;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,001962922573609597;0,1962922573609597;0,0021978021978021982;0,21978021978021986
48;48;21133;21133;DEU;Europe;Germany;2020-03-15;5795,0;1210,0;679,2860000000003;11,0;2,0;1,571;69,166;14,442;8,107999999999999;0,131;0,024;0,019;2,79;;;;;;;933,521;11,142;126890,0;;1,514;;;;0,058;17,2;tests performed;;;;;;;;;;32,87;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,00189818809318378;0,18981880931837794;0,001652892561983471;0,1652892561983471
49;49;21134;21134;DEU;Europe;Germany;2020-03-16;7272,0;1477,0;870,857;17,0;6,0;2,143;86,795;17,629;10,394;0,203;0,07200000000000001;0,026;2,71;;;;;;;;;;;;;;;;;tests performed;;;;;;;;;;42,13;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,0023377337733773377;0,23377337733773376;0,004062288422477996;0,4062288422477996
50;50;21135;21135;DEU;Europe;Germany;2020-03-17;9257,0;1985,0;1114,286;24,0;7,0;3,143;110,487;23,692;13,3;0,28600000000000003;0,084;0,038;2,64;;;;;;;;;;;;;;;;;tests performed;;;;;;;;;;42,13;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,0025926326023549746;0,25926326023549745;0,003526448362720403;0,3526448362720403
51;51;21136;21136;DEU;Europe;Germany;2020-03-18;12327,0;3070,0;1488,429;28,0;4,0;3,571;147,128;36,642;17,765;0,334;0,048;0,043;2,56;;;;;;;;;;;;;;;;;tests performed;;;;;;;;;;52,31;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,002271436683702443;0,22714366837024424;0,0013029315960912053;0,13029315960912052
52;52;21137;21137;DEU;Europe;Germany;2020-03-19;15320,0;2993,0;1891,714;44,0;16,0;5,857;182,851;35,723;22,57800000000001;0,525;0,191;0,07;2,46;;;;;;;;;;;;;;;;;tests performed;;;;;;;;;;55,09;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,0028720626631853785;0,28720626631853785;0,0053458068827263614;0,5345806882726362
53;53;21138;21138;DEU;Europe;Germany;2020-03-20;19848,0;4528,0;2310,429;67,0;23,0;8,571;236,895;54,044;27,576;0,8;0,275;0,102;2,35;200,0;2,387;;;;;;;;;;;;;;;tests performed;;;;;;;;;;57,87;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,0033756549778315194;0,3375654977831519;0,005079505300353357;0,5079505300353357
54;54;21139;21139;DEU;Europe;Germany;2020-03-21;22213,0;2365,0;2518,286;84,0;17,0;10,714;265,122;28,227;30,057;1,003;0,203;0,128;2,22;308,0;3,676;;;;;;;;;;;;;;;tests performed;;;;;;;;;;68,06;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,003781569351280781;0,3781569351280781;0,007188160676532771;0,7188160676532771
55;55;21140;21140;DEU;Europe;Germany;2020-03-22;24873,0;2660,0;2725,429;94,0;10,0;11,857;296,871;31,748;32,529;1,122;0,119;0,142;2,13;364,0;4,345;;;;;2354,49;28,102;495236,0;;5,9110000000000005;;52621,0;0,628;0,068;14,7;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,0037791983275037187;0,3779198327503719;0,003759398496240601;0,3759398496240601
56;56;21141;21141;DEU;Europe;Germany;2020-03-23;29056,0;4183,0;3112,0;123,0;29,0;15,143;346,797;49,926;37,143;1,4680000000000002;0,34600000000000003;0,181;2,05;451,0;5,382999999999999;;;;;;;;;;;52650,0;0,628;;;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,004233204845814978;0,4233204845814978;0,006932823332536457;0,6932823332536457
57;57;21142;21142;DEU;Europe;Germany;2020-03-24;32986,0;3930,0;3389,857;157,0;34,0;19,0;393,703;46,90600000000001;40,46;1,874;0,406;0,227;1,97;616,0;7,352;;;;;;;;;;;52679,0;0,629;;;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,004759594979688353;0,4759594979688353;0,008651399491094147;0,8651399491094147
58;58;21143;21143;DEU;Europe;Germany;2020-03-25;37323,0;4337,0;3570,857;206,0;49,0;25,429;445,467;51,764;42,62;2,459;0,585;0,304;1,9;789,0;9,417;;;;;;;;;;;52709,0;0,629;;;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,005519384829729657;0,5519384829729657;0,011298132349550379;1,1298132349550378
59;59;21144;21144;DEU;Europe;Germany;2020-03-26;43938,0;6615,0;4088,286;267,0;61,0;31,857;524,42;78,953;48,79600000000001;3,187;0,728;0,38;1,83;824,0;9,835;;;;;;;;;;;52738,0;0,629;;;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,006076744503618736;0,6076744503618736;0,009221466364323506;0,9221466364323506
60;60;21145;21145;DEU;Europe;Germany;2020-03-27;50871,0;6933,0;4431,857;342,0;75,0;39,286;607,169;82,749;52,896;4,082;0,895;0,469;1,75;905,0;10,802;;;;;;;;;;;52767,0;0,63;;;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,006722887303178628;0,6722887303178628;0,01081782778018174;1,081782778018174
61;61;21146;21146;DEU;Europe;Germany;2020-03-28;57695,0;6824,0;5068,857;433,0;91,0;49,857;688,6160000000001;81,44800000000002;60,499;5,167999999999998;1,086;0,595;1,66;1001,0;11,947;;;;;;;;;;;52797,0;0,63;;;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,00750498310078863;0,7504983100788629;0,013335287221570926;1,3335287221570926
62;62;21147;21147;DEU;Europe;Germany;2020-03-29;62095,0;4400,0;5317,429;533,0;100,0;62,714;741,132;52,51600000000001;63,466;6,362;1,194;0,7490000000000001;1,57;1063,0;12,687;;;;;4477,871;53,445;865017,0;;10,324000000000002;;52826,0;0,631;0,087;11,5;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,008583621869715756;0,8583621869715755;0,022727272727272728;2,272727272727273
63;63;21148;21148;DEU;Europe;Germany;2020-03-30;66885,0;4790,0;5404,143;645,0;112,0;74,571;798,303;57,17100000000001;64,501;7,697999999999999;1,337;0,89;1,5;1203,0;14,358;;;;;;;;;;;53630,0;0,64;;;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,009643417806683112;0,9643417806683112;0,02338204592901879;2,338204592901879
64;64;21149;21149;DEU;Europe;Germany;2020-03-31;71808,0;4923,0;5546,0;775,0;130,0;88,286;857,062;58,758;66,194;9,25;1,5519999999999998;1,054;1,43;1550,0;18,5;;;;;;;;;;;54435,0;0,65;;;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,010792669340463456;1,0792669340463457;0,026406662604103192;2,640666260410319
65;65;21150;21150;DEU;Europe;Germany;2020-04-01;77872,0;6064,0;5792,714;920,0;145,0;102,0;929,438;72,377;69,139;10,981;1,731;1,217;1,37;1784,0;21,293000000000006;;;;;;;;;;;55239,0;0,659;;;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,011814259297308404;1,1814259297308405;0,02391160949868074;2,391160949868074
66;66;21151;21151;DEU;Europe;Germany;2020-04-02;84794,0;6922,0;5836,571;1107,0;187,0;120,0;1012,055;82,617;69,66199999999999;13,213;2,232;1,432;1,32;2102,0;25,088;;;;;;;;;;;56044,0;0,669;;;tests performed;;;;;;;;;;76,85;83783945,0;237,016;46,6;21,453000000000007;15,957;45229,245;;156,139;8,31;28,2;33,1;;8,0;81,33;0,936;0,01305516899780645;1,305516899780645;0,02701531349321005;2,7015313493210047
