normal-d;Binomial-d;Poisson-d;Chi-Quadrat-d;F-d;t-d
10,08860529;1;5;0.086563484;1,3705620319999998;-1,0840028179999999
10,03668615;0;4;0.168308892;8,031887845;-0,886516407
9,919439217999999;3;7;1.80818671;3,0417920639999996;3,122483013
9,992609894;0;2;0.576355626;0,304891445;-0,667815052
10,04738694;2;9;0.175495874;0,007882056;-1,4947286640000002
10,01288108;1;0;0.086369045;4,813856381;4,397407117
10,04597956;0;2;0.508986768;0,05939201400000001;-2,243657998
10,03597375;3;5;1.488425547;1,7258733819999998;0,296004638
9,995284866;2;4;0.100054162;0,004638611;-0,396067026
9,961228355;2;5;0.691045614;0,211221225;1,18315458
9,983047648;2;7;0.031783371;0,650023768;0,08996612
10,06667677;0;2;0.784507422;5,025815136;-0,592985805
9,91943227;2;1;0.155248785;0,137726164;-0,75150367
10,03619919;2;3;0.09548246;0,111375542;0,71795667
9,978784773;2;7;0.539916104;3,577118421;-1,284311011
10,03425125;2;8;1.055665016;0,730187288;-0,24036953100000003
9,96966871;1;3;3.251432266;7,571173701;-1,316688482
10,0361008;1;4;0.67615676;4,22097403;-0,258366534
10,06194458;3;8;0.001987341;0,8725448090000001;-1,070656579
9,914734029;2;4;0.033800011;1,223277135;0,742704432
9,901099438;2;2;0.145667228;0,056067223;0,033097176
10,05019377;2;1;0.164815688;0,34179176200000005;0,24158259199999998
9,962038686;3;2;3.3331949;0,5228234970000001;-0,200758005
9,967915178;2;5;0.011724656;3,21425661;1,017226365
10,02285067;4;3;1.219668821;0,8834451170000001;-0,9505761209999999
10,00331147;2;4;5.222332214;0,5091731979999999;-0,285956995
9,996560243;1;3;0.002756903;0,32914629100000004;0,800819365
9,980014853;3;5;3.53444791;2,565383672;-1,654427043
9,980771921;1;3;2.298424892;2,068412941;0,565675675
10,00467933;2;6;0.864544511;0,752678595;0,274792078
9,945999292;2;6;0.018195716;2,303225423;-0,24209965
9,988017516000001;2;2;0.039673429;0,878386989;2,297496088
9,941761513;4;1;0.962119944;0,006974596;1,035742503
10,06995297;1;3;0.567422479;1,2626660379999999;1,121533447
9,980108572999999;1;2;0.050841016;6,680191326;4,192397991
9,954940482;1;5;4.72047863;0,138227206;-2,431112502
10,01959985;3;5;2.112069295;0,918256581;3,1262763110000003
9,930725056;2;2;0.08993995;0,278604666;-1,899873054
9,926399163;2;7;0.886176018;0,24587155100000002;-2,356703344
10,01342368;3;5;3.36158421;6,148815181;-0,542712209
9,924554197;3;4;1.272432774;0,026935524;0,6818213590000001
9,935153463999999;2;9;0.10811922;1,9098581190000001;0,850198432
10,05210823;4;2;1.265900823;0,18290980199999998;-0,223460325
9,946538694;2;5;0.227415835;1,718363406;-0,506203776
10,05787322;1;4;0.363806153;1,691597693;0,42820217299999996
10,06182935;2;6;0.286191889;1,232879997;-2,099747544
9,955906214;2;2;1.723668514;0,19555687100000002;-0,19793134399999998
10,06399891;3;5;0.020934609;0,080438629;-0,51299728
10,04222424;2;3;0.076479546;0,281279917;0,558684808
9,997901804;3;5;0.035559343;5,923013185;-1,210178859
9,936483597;0;6;5.385370224;0,384847479;-0,645262063
9,989655611;2;3;0.029381846;6,541999375;0,134342832
9,946682884;2;3;0.242580347;0,453596968;1,307510006
10,00913881;2;1;0.045535304;0,11798483400000001;0,07360832
10,04506697;1;4;0.507849346;15,95051363;-1,090373679
9,970439312;2;3;0.796063274;0,227378427;-0,918836662
9,99977428;1;2;0.01515611;0,362349572;6,279671505
10,01591304;4;5;1.006239339;0,8382647670000001;-1,124365165
9,980290821;3;3;1.026334456;1,5267014909999999;-0,641660704
10,004222500000001;1;1;0.34488168;0,31145722;-0,70260536
10,01359034;3;4;0.433000075;0,953607683;-0,7596500890000001
10,09760225;3;4;0.002820311;1,607614846;-0,595114413
10,04307549;2;1;0.173605134;0,150626861;-0,69838956
10,03459503;1;5;1.830012775;1,9501958830000001;-0,587711416
10,02015138;1;2;0.000397392;1,222065802;0,84949341
9,963858509;2;4;0.054477615;0,723328564;-0,82162949
9,987281162;1;3;3.118840514;11,05084237;0,40786695
10,00089457;2;5;0.011908928;14,25940761;-1,113126216
9,950089486;2;4;1.498610488;2,22781736;0,0021153929999999997
9,927904578;3;3;0.06603085;0,189386306;-0,245977745
9,974817488;3;4;0.008871927;0,075947105;0,0344195
9,965175977000001;2;4;0.672550011;5,336619745;-1,286285385
9,999008538;1;5;0.780891785;10,13158934;1,99263796
9,901246052000001;2;1;0.137377759;0,509838951;-0,18724073100000002
9,992614816;2;5;2.536838138;2,333947384;-0,160738001
9,994345161;0;5;0.000117345;0,180233538;-0,055297192
9,982505996;2;4;2,18416E-05;1,5514185040000001;-0,42901021799999994
9,984799077;2;3;0.000809975;0,147519719;12,6469896
10,00462362;4;3;1.068339798;0,038562017999999997;-0,778426779
10,09370781;3;2;0.23181249;6,547933017;-1,044672691
9,985770696;2;3;0.248806851;3,5831830069999997;-1,24080956
9,982585306;1;2;0.20160832;6,020662269;0,501315434
10,05644024;2;2;0.068080369;0,5377906060000001;-0,335618019
10,01767641;0;4;2.676214977;0,81197308;0,33904436299999996
9,954761423999999;1;4;0.000428178;10,21045571;0,768825963
10,10754254;2;5;4.362695616;0,410434041;-2,337064293
10,05368272;2;6;0.930531012;0,463646273;2,4291317080000003
9,953620797000001;1;5;2.102562942;2,527237646;0,529883654
10,08214482;2;11;2.109832582;0,06799522599999999;-0,25716361600000004
10,00197882;2;1;0.888391198;28,51753248;0,402344625
10,01014575;1;2;2.96277324;1,962881841;-0,914246896
9,981400428999999;2;4;0.142890553;3,526549585;0,385351193
10,05194579;2;5;1.05026297;0,947760736;-4,186947887
10,04286375;3;6;0.003163225;2,8946328969999997;2,91099233
10,0653536;3;6;0.004740131;2,3306323190000002;-1,133939173
10,02941875;2;3;2.183803299;0,27671070600000003;-0,868507294
10,05921229;2;2;0.307100139;0,46200158799999996;1,5358007040000001
9,969199987;1;4;1.787823785;0,912915925;1,9197280840000002
9,98592426;2;4;0.774951139;1,9572100430000001;-0,349416754
9,985383495;1;5;0.153324176;0,304401183;2,948609055
10,02496093;3;2;0.0295218;2,736086322;1,071179783
9,93928593;1;3;3.205859187;0,01620331;0,987579553
10,02540315;2;5;1.278775673;8,792773264;-0,058802041
10,05993859;4;2;0.151593325;1,479656348;1,1244803829999999
9,940500978;3;1;1.446343516;17,87052436;0,361869596
9,99432524;3;3;0.530988529;0,20178492399999998;0,099994486
10,12459772;2;6;2.821225707;3,3638162080000003;-0,10604791699999999
9,985300111;2;8;0.375882491;13,42393291;3,8115618010000003
9,979251215;2;5;1.931360296;0,388841227;1,462516084
9,989220829;1;5;0.406467575;0,7790041259999999;0,044907542
9,972361446;2;4;0.113292341;2,201538963;-3,432187781
10,05734155;0;2;0.696172387;0,012389025;0,746294474
9,996728014;1;4;0.70160566;4,249050249;0,8806149090000001
9,925730705;1;3;0.163565227;5,3538810119999996;2,585477606
9,95959931;3;8;2.520202059;1,090748601;1,1495951979999999
9,999598608;1;3;5.061292219;0,359565895;-0,8231687529999999
10,00431382;0;3;1.975985323;1,1833473829999999;0,30975425100000004
9,986294098;2;2;0.4077005;0,482703525;-0,35454107
9,979876583;1;4;0.158321548;0,528557704;-1,118771602
9,9352949;3;2;0.786237194;0,8993151690000001;0,007095146
9,977987502000001;2;1;1.567641651;0,6601746000000001;-1,5822216930000002
9,998249626;2;3;1.481522689;0,133787755;0,587329978
10,01795693;1;3;0.004787222;0,20546331899999998;-0,326145882
10,12289588;1;5;0.074950021;1,7121366569999998;-0,147954786
9,987151041;3;6;0.129556413;0,760091618;-0,742566651
9,951412591;3;5;0.117254148;5,290834665;-0,17901166
10,00717963;4;5;1.03148007;0,542637391;-0,068230369
10,03372905;3;6;1.843892219;0,28256291;-1,7840833530000002
10,00457978;3;3;0.016248384;4,552838558;-0,278232767
10,00471922;1;2;0.825528805;0,040878634;0,144555544
10,08233863;1;1;3.121193562;1,690311764;0,101796829
9,989568048999999;1;3;1.284052546;0,885928426;1,4515329369999999
10,04589274;1;4;3.278170819;0,186970303;-2,038853135
9,976599963;2;4;0.277740265;0,283926798;0,436620095
10,00265864;2;3;0.239265773;1,116012941;0,40035695
10,06778613;3;6;0.084421581;0,910908618;-0,16358599
10,04808466;1;3;0.565049928;0,37953850100000003;-0,408973714
10,00247968;2;3;1.763787405;0,443451153;1,5181253140000002
10,01351271;2;5;0.75304771;0,071338494;0,9482981090000001
10,02266362;2;4;0.859718027;0,314038451;2,016906482
9,91324097;3;4;0.296797303;6,307814417;-2,441779291
9,974446045;2;5;3.231900029;1,4748104080000002;1,77307505
9,939380587;1;4;0.479246094;0,83126419;0,374150382
9,985115298;1;2;0.301460605;1,829830265;-2,609800974
10,01665871;3;1;0.328022272;0,805578462;-0,3810667
